v1,v2,,,
Interested,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,,,
Interested,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,,,
Not Interested,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,,,
More information,"Ta-Daaaaa! I am home babe, are you still up ?",,,
Not Interested,Cool. So how come you havent been wined and dined before?,,,
Interested,Just sleeping..and surfing,,,
Not Interested,"Sorry, I'll call later",,,
Interested,U calling me right? Call my hand phone...,,,
Not Interested,Ok that's great thanx a lot.,,,
Interested,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,,,
Interested,Where u been hiding stranger?,,,
Not Interested,Am not interested to do like that.,,,
More information,My sister cleared two round in birla soft yesterday.,,,
Not Interested,Gudnite....tc...practice going on,,,
Interested,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,,,
Not Interested,One small prestige problem now.,,,
Interested,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,,,
Not Interested,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,,,
Interested,"Nah can't help you there, I've never had an iphone",,,
Interested,If you're not in my car in an hour and a half I'm going apeshit,,,
Not Interested,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD",,,
More information,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,,,
Not Interested,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.,,,
Interested,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",,,
Not Interested,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
Interested,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,,,
Not Interested,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",,,
Interested,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted",,,
Interested,Ha ha cool cool chikku chikku:-):-DB-),,,
Not Interested,Oh ok no prob..,,,
More information,Check audrey's status right now,,,
Not Interested,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...,,,
Interested,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always",,,
Not Interested,Well i know Z will take care of me. So no worries.,,,
Interested,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",,,
Not Interested,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,,,
Interested,Wat uniform? In where get?,,,
Interested,"Cool, text me when you're ready",,,
Not Interested,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",,,
More information,I will spoil you in bed as well :),,,
Not Interested,I'm going for bath will msg you next  &lt;#&gt;  min..,,,
Interested,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,,,
Not Interested,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",,,
Interested,Can you say what happen,,,
Not Interested,You could have seen me..i did't recognise you Face.:),,,
Interested,Well there's not a lot of things happening in Lindsay on New years *sighs* Some bars in Ptbo and the blue heron has something going,,,
Interested,Keep my payasam there if rinu brings,,,
Not Interested,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,,,
More information,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",,,
Not Interested,"Yeah sure, give me a couple minutes to track down my wallet",,,
Interested,Hey leave it. not a big deal:-) take care.,,,
Not Interested,Hey i will be late ah... Meet you at 945+,,,
Interested,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",,,
Not Interested,It took Mr owl 3 licks,,,
Interested,Customer place i will call you.,,,
Interested,Mm that time you dont like fun,,,
Not Interested,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,,,
More information,Yup having my lunch buffet now.. U eat already?,,,
Not Interested,Huh so late... Fr dinner?,,,
Interested,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,,,
Not Interested,Morning only i can ok.,,,
Interested,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,,,
Not Interested,Pick you up bout 7.30ish? What time are  and that going?,,,
Interested,From here after The performance award is calculated every two month.not for current one month period..,,,
Interested,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.,,,
Not Interested,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.",,,
More information,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",,,
Not Interested,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,,,
Interested,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop",,,
Not Interested,Dear how is chechi. Did you talk to her,,,
Interested,The hair cream has not been shipped.,,,
Not Interested,None of that's happening til you get here though,,,
Interested,"Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour",,,
Interested,"Haha get used to driving to usf man, I know a lot of stoners",,,
Not Interested,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?,,,
More information,Hello! Good week? Fancy a drink or something later?,,,
Not Interested,Headin towards busetop,,,
Interested,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
Not Interested,Come by our room at some point so we can iron out the plan for this weekend,,,
Interested,Cos i want it to be your thing,,,
Not Interested,"Okies... I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah... ",,,
Interested,Bring home some Wendy =D,,,
Interested,100 dating service cal;l 09064012103 box334sk38ch,,,
Not Interested,Whatsup there. Dont u want to sleep,,,
More information,Alright i have a new goal now,,,
Not Interested,FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,,,
Interested,"Alright, I'll head out in a few minutes, text me where to meet you",,,
Not Interested,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,,,
Interested,Yes:)from last week itself i'm taking live call.,,,
Not Interested,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,,,
Interested,Siva is in hostel aha:-.,,,
Interested,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,,,
Not Interested,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..,,,
More information,Ok. She'll be ok. I guess,,,
Not Interested,aathi..where are you dear..,,,
Interested,Any pain on urination any thing else?,,,
Not Interested,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..,,,
Interested,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
Not Interested,At home watching tv lor.,,,
Interested,Does she usually take fifteen fucking minutes to respond to a yes or no question,,,
Interested,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,,,
Not Interested,Booked ticket for pongal?,,,
More information,You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,,,
Not Interested,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,,,
Interested,"Ask g or iouri, I've told the story like ten times already",,,
Not Interested,How long does applebees fucking take,,,
Interested,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",,,
